codigo_estructura,potencia,tipo,potencia2,porcentaje_perdida,doblenivel,descripcion_larga,desc_nemot,perdidas_w,perdidas2_w
APO1053,6,C,0,10,C,Lum. 240V Led 6 W en poste  con red aérea Autocontrolada pot. Cte. C,APD-0PLCL6AC,0.6,
ECT0076,171.6,M,0,0,,Regulador de voltaje bobina fija 13kV 3F 171.6 kVA ctrl manual,ECT-3RM171.6,,
ECT0077,171.6,E,0,0,,Regulador de voltaje bobina fija 13kV 3F 171.6 kVA ctrl electrónico,ECT-3RE171.6,,
ECT0074,57.2,M,0,0,,Regulador de voltaje bobina fija 13kV 1F 57.2 kVA ctrl manual,ECT-1RM57.2,,
ECT0075,57.2,E,0,0,,Regulador de voltaje bobina fija 13kV 1F 57.2 kVA ctrl electrónico,ECT-1RE57.2,,
ECT0078,167,E,0,0,,Regulador de voltaje bobina fija 13kV 1F 167 kVA ctrl electrónico,ECT-1RE167,,
ECT0079,501,E,0,0,,Regulador de voltaje bobina fija 13kV 3F 501 kVA ctrl electrónico,ECT-3RE501,,
SPT0129,0,,0,0,,Secc. 13kV 3F con seccionador fus. unipolar ab. 300A,SPT-3S300,,
AOD0179,6.5,C,0,10,C,Proy. 240 V Ornamental Led 6.5 W en piso Autocont. pot. cte.,AOD-0IPL6.5AC,0.65,
AOD0178,4.5,C,0,10,C,Proy. 240 V Ornamental Led 4.5 W en piso Hilo Piloto. pot. cte.,AOD-0IPL4.5PC,0.45,
TRT0314,320,C,0,0,,Transformador 13 kV 3F conv. 320 kVA en cámara,TRT-3O320,,
TRS0292,1250,C,0,0,,Transformador 6 kV 3F Pedestal o Padmounted 1250KVA,TRS-3P1250,,
SSD0034,,,0,0,,"Secc. red subt. 220V 2F, Transición, inst. en red desnuda",SSD-2RD,,
SPR0083,,,0,0,,Secc. 34.5 kV 3F con interruptor 600A BIL 125,SPR-3I600_125,,
TRV0158,150,C,0,0,,Banco de 3 transformadores 22 kV monofásicos 150 kVA en cámara,TRV-3I150,,
